timestamp,battery_value,tensao,corrente
2025-06-13 12:47:46,94,4205,6,
2025-06-13 12:48:18,94,4205,5,
2025-06-13 12:48:49,94,4205,5,
2025-06-13 12:49:21,94,4205,5,
2025-06-13 12:49:52,94,4205,5,
2025-06-13 12:50:24,94,4205,5,
2025-06-13 12:50:55,94,4205,5,
2025-06-13 12:51:27,94,4205,5,
2025-06-13 16:02:15,99,4127,0
2025-06-13 16:02:41,99,4127,0
2025-06-13 16:03:07,99,4188,0
2025-06-13 16:03:33,99,4188,-34
2025-06-13 16:04:00,99,4188,-32
2025-06-13 16:04:26,99,4188,-30
2025-06-13 16:04:52,99,4188,-29
2025-06-13 16:05:18,99,4188,-28
2025-06-13 16:05:44,99,4188,-27
2025-06-13 16:06:11,99,4188,-25
2025-06-13 16:06:37,99,4188,-24
2025-06-13 16:07:04,99,4188,-23
2025-06-13 16:07:30,99,4188,-22
2025-06-13 16:07:56,99,4188,-22
2025-06-13 16:08:22,99,4188,-21
2025-06-13 16:08:49,99,4188,-20
2025-06-13 16:09:15,99,4188,-19
2025-06-13 16:09:41,99,4188,-18
2025-06-13 16:10:07,99,4188,-18
2025-06-13 16:10:33,99,4188,-17
2025-06-13 16:11:00,99,4188,-17
2025-06-13 16:11:26,99,4188,-16
2025-06-13 16:11:52,99,4188,-16
2025-06-13 16:12:18,99,4188,-15
2025-06-13 16:12:45,99,4189,-15
2025-06-13 16:13:11,99,4189,-15
2025-06-13 16:13:37,99,4189,-14
2025-06-13 16:14:03,99,4189,-14
2025-06-13 16:14:29,99,4189,-13
2025-06-13 16:14:56,99,4189,-13
2025-06-13 16:15:22,99,4189,-12
2025-06-13 16:15:48,99,4189,-12
2025-06-13 16:16:14,99,4189,-11
2025-06-13 16:16:40,99,4189,-11
2025-06-13 16:17:07,99,4189,-11
2025-06-13 16:17:33,99,4189,-10
2025-06-13 16:17:59,99,4189,-10
2025-06-13 16:18:26,99,4189,-10
2025-06-13 16:18:52,99,4189,-10
2025-06-13 16:19:18,99,4189,-10
2025-06-13 16:19:44,99,4189,-10
2025-06-13 16:20:10,99,4189,-10
2025-06-13 16:20:37,99,4189,-9
2025-06-13 16:21:03,99,4189,-9
