timestamp,battery_%,tensao_mv,corrente_ma,rssi_dbm
2025-06-13 13:10:31,94,4205,5,<coroutine object get_rssi at 0x000001D3378E5B70>
2025-06-13 13:14:20,94,4205,5,<coroutine object get_rssi at 0x000001C2E226D380>
2025-06-13 13:17:10,94,4205,5,<coroutine object get_rssi at 0x000002607FF1D380>
2025-06-13 13:17:45,94,4205,6,<coroutine object get_rssi at 0x000002607FF1D380>
2025-06-13 13:19:08,94,4205,5,<coroutine object get_rssi at 0x0000022A3C0CD380>
2025-06-13 13:20:01,94,4205,5,
2025-06-13 13:20:37,94,4205,5,0
2025-06-13 13:21:08,94,4205,5,0
2025-06-13 13:21:39,94,4205,6,0
2025-06-13 13:22:09,94,4205,5,0
2025-06-13 13:22:51,94,4206,5,0
2025-06-13 13:24:05,94,4206,5,0
2025-06-13 13:24:35,94,4206,5,0
2025-06-13 13:27:45,94,4205,6,0
2025-06-13 13:28:24,94,4185,5,0
2025-06-13 13:29:04,94,4185,5,0
2025-06-13 13:29:35,94,4185,5,0
2025-06-13 13:40:02,95,4185,5,0
2025-06-13 13:40:53,95,4185,7,0
2025-06-13 13:41:33,95,4185,5,0
2025-06-13 13:47:45,92,4185,6,0
2025-06-13 13:48:20,92,4185,6,
2025-06-13 13:48:57,92,3995,0,0
2025-06-13 13:49:27,92,3995,0,
2025-06-13 13:50:16,92,3995,5,0
2025-06-13 14:17:22,92,3995,6,0
2025-06-13 14:19:41,92,3996,5,0
